[Sun Jul 18 22:59:17 2010] #mikunopop: danjoh          : いや実際これってやっていいのかなぁ～とか思うことはよくあるのですが
[Sun Jul 18 22:59:45 2010] #mikunopop: Shaghar         : リスナーさんのなかでも、
[Sun Jul 18 22:59:54 2010] #mikunopop: Shaghar         : 個別主の企画と、
[Sun Jul 18 23:00:13 2010] #mikunopop: Shaghar         : 「大賞」が全然感覚が違うので・・・
[Sun Jul 18 23:00:48 2010] #mikunopop: nise_ikkari     : 企画の「やっていい、わるい」はｺﾐｭの趣旨を外さない範囲で自己判断。→ﾌﾞｰｲﾝｸﾞがきたら廃止および反省会　でｲｲと思うのですが・・・。
[Sun Jul 18 23:00:54 2010] #mikunopop: saihane         : 大賞は「枠」単位じゃなく「コミュ」単位だからね〜
[Sun Jul 18 23:01:20 2010] #mikunopop: kinuko          : しかも期間がある程度あるからねぇ
[Sun Jul 18 23:01:22 2010] #mikunopop: danjoh          : 反省会怖いです～＞＜
[Sun Jul 18 23:01:50 2010] #mikunopop: saihane         : 枠単位の企画はおｋなんだけど、コミュ単位の企画についてあやふやなのが今回の問題ですね。
[Sun Jul 18 23:01:57 2010] #mikunopop: k-sk            : 自分としては、企画を考えた人の企画を動かす力は大切にしたいですねぇ。
[Sun Jul 18 23:02:15 2010] #mikunopop: nise_ikkari     : k－skさんいいコといった！
[Sun Jul 18 23:02:23 2010] #mikunopop: kinuko          : ( ｀ิ,_ゝ´ิ)＜danjoh　反省部屋動画作っておくよ！
[Sun Jul 18 23:02:30 2010] #mikunopop: nise_ikkari     : ｗｗｗｗ
[Sun Jul 18 23:02:54 2010] #mikunopop: danjoh          : （15秒のマイリス外そう・・・）
[Sun Jul 18 23:03:07 2010] #mikunopop: kinuko          : 見たのかあれｗｗ
[Sun Jul 18 23:03:17 2010] #mikunopop: danjoh          : もちろんです～
[Sun Jul 18 23:03:26 2010] #mikunopop: saihane         : ミクノはあすたーさんの個人コミュなのか、もっと大きいみんなのコミュなのか・・
[Sun Jul 18 23:03:29 2010] #mikunopop: k-sk            : 大きな規模になるとタイムキーパー的な役割が必要だと思うので、その人が発起人兼イベント実施者になると企画費用の面もカバー出来るかしら・・・(？)
[Sun Jul 18 23:03:34 2010] #mikunopop: danjoh          : シリーズ見てます～＞＜
[Sun Jul 18 23:03:56 2010] #mikunopop: nise_ikkari     : kinukoさん、danjohさんｗ
[Sun Jul 18 23:04:12 2010] #mikunopop: saihane         : 企画ごとにチーム作ってやればいいんじゃないかな。枠企画なら、今でもやろうと思えばできるはず。
[Sun Jul 18 23:04:24 2010] #mikunopop: nise_ikkari     : チーム対抗ｗｋｔｋ
